identifier,title
S 4452,"A bill to designate the facility of the United States Postal Service located at 825 West 65th Street in Minneapolis, Minnesota, as the ""Charles W. Lindberg Post Office""."
S 4436,Advanced Border Coordination Act of 2022
HR 2894,Civilian Cyber Security Reserve Act
HR 7561,BAH Restoration Act
HR 7554,OWNER Act
HR 7557,Department of the Treasury Officer Protection Act of 2022
HR 7547,SPACE Tax Act
HR 2843,STOP GAMES Act of 2021
HR 7545,Kimberly Vaughan Firearm Safe Storage Act
HR 8158,Base Access Privileges Improvement Act
S 1859,National Guard and Reserve Incentive Pay Parity Act
HR 2831,Prompt Approval of Safe Generic Drugs Act
HR 7552,Golden-preneurship Act
HR 1207,Stop Online Ammunition Sales Act of 2021
HR 1143,LOAN Act
HR 7553,Warrant for Metadata Act
HR 6070,Kyle H. Rittenhouse Congressional Gold Medal Act
HR 1037,BARN Act
HR 2866,America Grows Act of 2021
S 1393,Toxic Exposure Training Act of 2021
S 2316,Volunteer First Responder Housing Act
HR 4376,USTRx Act
S 2310,"A bill to require the Secretary of Energy to conduct a study regarding codes and standards for use of energy storage systems across sectors and demonstrate certain second-life applications of electric vehicle batteries, and for other purposes."
HR 4392,Flag Standardization Act of 2021
HR 4386,Assuring Regular Consultation to Have Indigenous Voices Effectively Solicited Act
HR 4400,Burn Pit Registry Expansion Act
HR 4399,Accessing Higher Education Opportunities Act
HR 4389,New Collar Jobs Act of 2021
S 2314,Improving Worker Safety in Contracting Act of 2021
HRES 523,Amending the Rules of the House of Representatives to require the Committee on Appropriations to maintain proposed and historical budget authority and outlays for each category of spending.
HR 4377,Volunteer First Responder Housing Act
SRES 300,"A resolution honoring the memories of the victims of the building collapse in Surfside, Florida, on June 24, 2021, and the bravery and selfless service of the individuals who responded to the building collapse."
S 2348,Golden-preneurship Act
S 2344,Supporting Our Direct Care Workforce and Family Caregivers Act
SRES 297,"A resolution recognizing the commemorating Native Hawaiian Delegate Jonah Kuhio Kalaniana'ole's lifelong advocacy on behalf of Hawai'i and the Native Hawaiian people on the 100th anniversary of his paramount congressional achievement-the Hawaiian Homes Commission Act, 1920."
S 2347,Medium- and Heavy-Duty Electric Vehicle Infrastructure Act of 2021
S 1514,Border Transportation Efficiency Act
S 1524,Health Care PRICE Transparency Act
HR 4000,Internet Application I.D. Act
S 2526,"A bill to authorize the Secretary of Defense and the Secretary of Veterans Affairs to enter into agreements for the planning, design, and construction of facilities to be operated as shared medical facilities, and for other purposes."
S 2652,Preserving Patient Access to Home Infusion Act
HR 8906,"To provide for retroactive application of Generalized System of Preferences for the period after December 31, 2020, and before September 1, 2022."
SRES 301,A resolution recognizing the 75th anniversary of the Fulbright Program.
S 2463,A bill to require agencies submit zero-based budgets.
HR 4451,Securities Clarity Act
HR 4466,National Strategy for the Global Information Domain Act
HR 4455,"To amend the Child Nutrition Act of 1966 to extend certain certification periods for the special supplemental nutrition program for women, infants, and children, and for other purposes."
HR 4485,IRS Customer Service Improvement Act
HR 4478,Tax Fairness for Tribal Youth Act of 2021
HR 4464,Fighting Homelessness Through Services and Housing Act
HR 4452,Military Sexual Trauma Retirement Equity Act
HR 4467,8–K Trading Gap Act of 2021
S 448,Ensuring Kids Have Access to Medically Necessary Dental Care Act
S 1148,Restricting First Use of Nuclear Weapons Act of 2021
S 50,Venezuela Temporary Protected Status Act of 2021
HR 5798,Arms Sale Oversight Act
HR 6379,Federal Reserve Regulatory Oversight Act
HR 720,CHANCE in TECH Act
HR 171,Resilient Manufacturing Task Force Act of 2021
HR 3801,SHIELD Act
HR 3413,Agricultural Security Risk Review Act
HR 2997,Crash Avoidance System Evaluation Act
HR 4491,National Security Council Modernization Act of 2021
S 3130,Protecting Sensitive Personal Data Act of 2021
S 3134,Keep Food Local and Affordable Act of 2021
HR 3206,Law Enforcement Officer Recreation Pass Act
HR 3886,Clean Energy Victory Bond Act of 2021
HR 6179,To prohibit the use of funds for the 2022 and 2026 World Cup until the date on which Policy 604-1 of the United States Soccer Federation is reinstated.
SRES 203,"A resolution condemning the horrific attack in Indianapolis, Indiana, on April 15, 2021, and expressing support and prayers for all of those impacted by that tragedy."
S 87,Protecting Life in Crisis Act
S 3007,A bill to amend the Balanced Budget and Emergency Deficit Control Act of 1985 to extend the discretionary spending limits.
S 309,Smarter Pretrial Detention for Drug Charges Act of 2021
HR 6138,Preventing Our Next Natural Disaster Act
HR 6084,Energy Product Reliability Act
S 3276,Stopping Grinch Bots Act of 2021
HR 6083,Deceptive Experiences To Online Users Reduction Act
S 3298,Consumer Online Payment Transparency and Integrity Act
HR 6125,No Double Debt for Disaster Survivors Act of 2021
S 3275,Sudan Democracy Act
S 3286,Sentencing Commission Improvements Act
S 3297,A bill for the relief of Shirley Constantino Tan.
S 3303,NASA Enhanced Use Leasing Extension Act of 2021
S 3288,NTIA Reauthorization and Reform Act of 2021
S 3292,Dairy Pricing Opportunity Act of 2021
HR 6097,Indigenous Peoples Exchange and Economic Cooperation Act
S 3284,Veterans Assistance Helpline Act of 2021
HR 6131,Veterans Disability Claims Notification Improvement Act of 2021
HR 6110,Keep Children and Families Safe from Lead Hazards Act
HR 4443,COMPOST Act
S 3312,Taiwan Preclearance Act
S 3142,Election Worker and Polling Place Protection Act
HRES 828,Congratulating the Washington Spirit on winning the 2021 National Women's Soccer League championship.
S 3044,Work Opportunity Tax Credit Disability Expansion and Enhancement Act
HRES 825,Electing a certain Member to certain standing committees of the House of Representatives.
S 3283,Protect America's Children from Toxic Pesticides Act
HR 4468,AI for Agency Impact Act
S 3305,Chemical Tax Repeal Act
HR 6090,District of Columbia Government Accountability Office Home Rule Act
S 3310,BEACON Act of 2021
S 3271,Criminal Judicial Administration Act of 2021
HR 6112,MOVE Act
HR 6098,To amend the American Rescue Plan Act of 2021 to provide reimbursements for licensing and exam fees under the Veteran Rapid Retraining Assistance Program of the Department of Veterans Affairs.
HRES 829,"Providing for consideration of the bill (H.R. 6119) making further continuing appropriations for the fiscal year ending September 30, 2022, and for other purposes; and for other purposes."
SRES 465,"A resolution expressing the sense of the Senate that the United States should prioritize within the Government and emphasize with allies the need to provide continued support to, and maintain legal pathways for the emigration out of Afghanistan of, individuals who do not wish to be governed by the Taliban."
HR 6085,Fair Pay for All Act of 2021
HR 4474,BRAIN TRAIN Act
S 2129,Otto Warmbier Countering North Korean Censorship and Surveillance Act of 2021
HRES 532,"Commemorating the 200th birthday of Escambia County, one of two original counties in Florida."
S 3138,Covered Farm Vehicle Modernization Act of 2021
HR 2189,State Tax Freedom Act
S 3137,Foreign Extortion Prevention Act
HR 1786,Stop Tax Haven Abuse Act
S 3136,Stop Foreign Interference in Ballot Measures Act
HR 6178,To prohibit the Department of Defense from discharging or withholding pay or benefits from members of the National Guard based on COVID-19 vaccination status.
S 1231,Construction Consensus Procurement Improvement Technical Corrections Act
SJRES 5,A joint resolution proposing an amendment to the Constitution of the United States requiring that the Federal budget be balanced.
HR 7567,"To amend chapter 77 of title 5, United States Code, to clarify certain due process rights of Federal employees serving in sensitive positions, and for other purposes."
S 4081,Healthy H2O Act
S 4353,RISE & SHINE Act
S 4084,Leveraging our National Laboratories to Develop Tomorrow’s Technology Leaders Act of 2022
SRES 689,"A resolution commemorating the passage of 1 year since the tragic building collapse in Surfside, Florida, on June 24, 2021."
SRES 688,A resolution expressing opposition to Congressional spending on earmarks.
S 3426,Department of State Inclusivity Act of 2021
S 839,College Transparency Act
S 2705,Tribal Wildlife Corridors Act of 2021
HR 8159,Remotely Piloted Aircraft Crews Tax Relief Act
HR 3453,Anti-Hunger Pandemic Recovery Act of 2021
HR 8151,Building a Sustainable Workforce for Healthy Communities Act
S 2331,SHIELD Act
HR 8127,Water Infrastructure Finance and Innovation Act Amendments of 2022
S 2380,Tristan's Law
S 2377,Energy Infrastructure Act
S 2381,Jobs and Opportunity with Benefits and Services for Success Act
HR 4631,POST GRAD Act
HR 4615,Passport Emergency Extension Act of 2021
HR 6186,PAAW Act of 2021
HR 4332,Safe Schools Improvement Act of 2021
S 3814,Modernizing Biosurveillance Capabilities and Epidemic Forecasting Act
S 3798,Preempting Misguided Appeasement and Financing of Destabilizing Regimes Act of 2022
HR 8138,Lake Champlain Basin Program Reauthorization Act of 2022
S 4357,Maritime Administration Authorization Act for Fiscal Year 2023
HR 7013,Harriet Tubman Day Act
