identifier,title
HR 2690,CLEAR Act
HRES 1468,Of inquiry directing the Director of National Intelligence to transmit certain documents to the House of Representatives relating to the investigation by the intelligence community into the origins of the COVID-19 virus.
HR 2871,READI Act
S 1103,No Taxpayer Handouts to Illegal Immigrants Act
HR 863,Arrest Statistics Reporting Act of 2021
HRES 1295,Of inquiry directing the Secretary of Education to transmit certain documents to the House of Representatives relating to the Department of Education's cost estimates for the Secretary's waivers related to public service loan forgiveness and income-driven repayment.
S 4635,Comprehensive Care for Dual Eligible Individuals Act
S 4629,Federal Data Center Enhancement Act of 2022
HR 249,Protecting Federal Workers Act
SRES 339,"A resolution expressing support for the designation of September 25, 2021, as ""National Ataxia Awareness Day"", and raising awareness of ataxia, ataxia research, and the search for a cure."
S 415,"A bill to amend the Federal Food, Drug, and Cosmetic Act with respect to the scope of new chemical exclusivity."
HR 4470,Made in America Pandemic Preparedness Act
S 5107,Data on Interactions and Accountability for Law Enforcement with Individuals with Disabilities Act
S 264,Dream Act of 2021
S 4825,Safe Passage on Interstates Act
S 4623,AGILE Procurement Act of 2022
SRES 837,"A resolution recognizing Israeli-American culture and heritage, the contributions of the Israeli-American community to the United States, and condemning antisemitic violence and discrimination."
SRES 835,"A resolution expressing support for the designation of October 2022 as ""National Youth Justice Action Month""."
HR 9306,States Handling Access to Reciprocity for Employment Act
HR 5568,Clean Cities Act
S 5094,Resilient Transit Act of 2022
SJRES 64,"A joint resolution disapproving of the rule submitted by the Department of Homeland Security relating to ""Public Charge Ground of Inadmissibility""."
HR 3404,FUTURE Western Water Infrastructure and Drought Resiliency Act
S 5097,SLAP Act
S 557,Native Plant Species Pilot Program Act of 2022
HR 1720,COVID–19 Medical Production Act
HR 1364,Parity Enforcement Act of 2021
HR 8785,Lake Erie Water Quality Protection Act
S 4842,Military to Mariners Act of 2022
S 4826,Community Wildfire Protection Act of 2022
HR 4512,Semipostal Stamp Clarification Act of 2021
S 645,Methane Emissions Reduction Act of 2021
S 439,Coronavirus Medicaid Response Act
S 2903,Emerging Technologies Professional Military Education Act of 2021
HR 6068,Saving Local News Act
HR 1103,CABLE Competition Act
HR 3033,Resilient Ports Act
S 3409,"A bill to amend the Economic Growth, Regulatory Relief, and Consumer Protection Act to require the appropriate Federal banking agencies to develop a Community Bank Leverage Ratio that is between 8 percent and 8.5 percent for calendar years 2022, 2023, and 2024, and for other purposes."
HR 400,Civics Learning Act of 2021
S 1763,High Risk Rural Roads Safety Act of 2021
HR 6226,Grave Injustice Parity Act
SRES 758,"A resolution designating the month of September 2022 as ""Macedonian American Heritage Month"" and celebrating the language, history, and culture of Macedonian Americans and their incredible contributions to the United States."
SRES 757,A resolution expressing the sense of the Senate in support of the peaceful democratic and economic aspirations of the Sir Lankan people.
HR 8326,Ensuring a Fair and Accurate Census Act
S 4824,North Korea Policy Oversight Act of 2022
HRES 1337,"Lauding Virgin Islanders for their perseverance, grit, and tenacity through major disasters attributable to Hurricanes Irma and Maria and Members of Congress for their support in accruing funding to support the Virgin Islands of the United States through these disasters."
HR 4787,"To rename the Provo Veterans Center in Orem, Utah, as the ""Gail S. Halvorsen 'Candy Bomber' Veterans Center""."
S 4840,Protecting Pain-Capable Unborn Children from Late-Term Abortions Act
S 4841,Love Lives On Act of 2022
SRES 59,An original resolution authorizing expenditures by the Committee on Veterans' Affairs.
HR 3932,PASTEUR Act of 2021
HR 5276,To amend the Small Business Act to modify Govermentwide goals for certain small business concerns.
S 3378,Congressional Review of Agency Legal Settlements Act of 2021
S 3382,Protecting Access to Credit for Small Businesses Act
S 3363,"A bill to designate the facility of the United States Postal Service located at 135 West Wisconsin Street in Russell, Kansas, as the ""Robert J. Dole Memorial Post Office Building""."
S 2424,Restoring Brand USA Act
HR 837,Free Speech Fairness Act
S 576,Great Lakes Winter Commerce Act of 2021
HR 6180,Reef Assassin Act
S 3403,Protecting Our Democracy by Preventing Foreign Citizens from Voting Act
HR 990,Block Foreign-Funded Political Ads Act
HR 436,Canyon Village Land Conveyance Act
S 1676,Rural Broadband Financing Flexibility Act
S 2251,A bill to expand support for law enforcement officers.
HR 4488,FTC Autonomy Act
HR 9353,Klamath Power and Facilities Agreement Support Act
HR 7090,Eliminating Paperwork for Startups Act
S 5117,Medicare & You Handbook Improvement Act of 2022
S 6,Biosimilar Red Tape Elimination Act
S 626,Lacey Act Amendments of 2021
S 2,AACCENT Act
SRES 826,"A resolution designating October 26, 2022, as the ""Day of the Deployed""."
HR 8708,Madeleine K. Albright Democracy in the 21st Century Act
HR 9354,Veterans Homecare Choice Act of 2022
HR 9317,"To direct the Librarian of Congress to obtain a stained glass panel depicting the seal of the District of Columbia and install the panel among the stained glass panels depicting the seals of States, which overlook the Main Reading Room of the Library of Congress Thomas Jefferson Building."
HR 9356,RESILIENCE Act of 2022
SRES 677,A resolution recognizing the exemplary service of the soldiers of the 30th Infantry Division (Old Hickory) of the United States Army during World War I and World War II.
HR 6003,Veteran and Beginning Farmers Assistance Act of 2021
HJRES 13,Proposing a balanced budget amendment to the Constitution requiring that each agency and department's funding is justified.
HRES 1369,"Recognizing the honorable life of Her Majesty Queen Elizabeth II as well as her leadership and commitment to the people of the United Kingdom, the Commonwealth, and the world."
S 5124,Chaco Cultural Heritage Area Protection Act of 2022
S 878,Stop Illegal Trafficking in Firearms Act of 2021
HR 8803,"IGNITE HBCU, TCU, and MSI Excellence Act"
HR 1329,Surface Transportation Investment Act of 2021
S 4852,A bill to permanently authorize the SBIR and STTR programs.
SRES 288,"A resolution commemorating the tenth anniversary of the Souris River flood in Minot, North Dakota."
S 5116,"A bill to amend the Child Nutrition Act of 1966 to require the authorization of frozen fruits and vegetables under the special supplemental nutrition program for women, infants, and children."
SRES 197,"A resolution expressing support for the designation of May 1, 2021, as ""Silver Star Service Banner Day""."
HRES 519,"Amending the Rules of the House of Representatives to require the chair of a select commission established in the legislative branch to report each line item expense to the Clerk of the House of Representatives, and for other purposes."
S 969,Coronavirus Regulatory Repeal Act of 2021
S 2192,Closing the Meal Gap Act of 2021
HR 9307,SAFE Lending Act of 2022
S 5114,PREVENT Act of 2022
HRES 1346,"Expressing support for the designation of the week beginning on September 11, 2022, as ""Celebrate Community Week""."
S 1777,Don't Weaponize the IRS Act
HR 8808,COBALT Act of 2022
SRES 763,Senate Select Committee on the Afghanistan Withdrawal Resolution
S 5118,A bill to require the Commissioner of U.S. Customs and Border Protection to identify and conduct recurrent vetting of evacuees from Afghanistan found not to be properly vetted before entering the United States.
HR 4889,Don't Weaponize the IRS Act
S 4853,American Defense PLANS Act of 2022
HRES 1351,Condemning Azerbaijan's unprovoked military attack on Armenia.
S 5123,Breakthrough Therapies Act
HRES 1321,"Celebrating the United States-Republic of Korea alliance and the dedication of the Wall of Remembrance at the Korean War Veterans Memorial on July 27, 2022."
S 4850,"A bill to amend Public Law 117-169 to prohibit the Environmental Protection Agency from using funds for methane monitoring to be used to monitor emissions of methane from livestock, and for other purposes."
HR 8767,Empowering Parents Act
S 2727,Prevent Government Shutdowns Act of 2021
HR 5818,Outpatient Surgery Quality and Access Act of 2021
HR 29,Defund National Endowment for the Humanities Act of 2021
S 1035,Workforce DATA Act
HR 1101,Protecting Reopening Businesses Recovering from COVID–19 Act
S 1034,Financing Our Energy Future Act
HR 9352,"To improve services for trafficking victims by establishing, in Homeland Security Investigations, the Investigators Maintain Purposeful Awareness to Combat Trafficking Trauma Program and the Victim Assistance Program."
S 59,Justice for Victims of Sanctuary Cities Act of 2021
S 3383,A bill to amend the Internal Revenue Code of 1986 to modify the cover over of certain distilled spirits taxes.
S 4848,Russia is a State Sponsor of Terrorism Act
HR 200,National Intersection and Interchange Safety Construction Program Act of 2021
S 4075,KLEPTO Act
S 4856,SEVER Act of 2022
HR 2953,Savings Access For Escaping and Rebuilding Act of 2021
S 1045,Terrorist Deportation Act of 2021
S 4849,Oil Spill Response Review Act of 2022
HR 624,Parris Island Protection Act
HR 8807,Leave No Americans Behind Act of 2022
HR 8805,Ensuring Seniors’ Access to Quality Care Act
S 3372,"A bill to amend title 38, United States Code, to strengthen benefits for children of Vietnam veterans born with spina bifida, and for other purposes."
SRES 764,"A resolution designating September 2022, as ""National Spinal Cord Injury Awareness Month""."
HR 6328,FinCEN Exam Delegation Study
HR 7076,Supporting Children’s Mental Health Care Access Act of 2022
HR 5838,Capital Gains Inflation Relief Act of 2021
HR 6326,NEW START Act of 2021
HR 1739,Support Our Military Working Dogs Act
HR 8802,Public Lands and Waters Climate Leadership Act of 2022
HRES 1345,"Expressing support for the designation of September 13, 2022, as ""Intermodal Day""."
S 3410,The Consumer Protection and Due Process Act
S 3344,Protecting the American Taxpayer and Medicare Act
HR 7378,"To amend title XIX of the Social Security Act to make permanent the State plan amendment option to provide medical assistance for certain individuals who are patients in certain institutions for mental diseases, and for other purposes."
HR 7572,"University Centers for Growth, Development, Prosperity (GDP) Act"
S 210,Protecting JOBs Act
S 4855,Collegiate Athlete Compensation Rights Act
S 4847,Law Enforcement Scenario-Based Training for Safety and De-Escalation Act of 2022
S 4845,Securing Our Schools Act of 2022
S 1272,SIMPLE Plan Modernization Act
S 2238,FASD Respect Act
S 4844,National Nursing Workforce Center Act of 2022
HR 3714,Where’s our Money Going Act
HR 1538,Binational Health Strategies Act of 2021
HRES 1340,Electing Members to certain standing committees of the House of Representatives.
SRES 248,A resolution recognizing and celebrating the 225th anniversary of the entry of the State of Tennessee into the United States as the 16th State.
HR 306,STARTS Act of 2021
HR 3888,CHIP IN for Veterans Act
S 141,End Taxpayer Subsidies for Drug Ads Act
HR 4675,Disaster Mitigation and Tax Parity Act of 2021
SRES 814,"A resolution designating the week beginning on October 9, 2022, as ""National Wildlife Refuge Week""."
HR 2947,ALERT Act
S 5113,VAWA Technical Amendment Act of 2022
HRES 238,Providing amounts for the expenses of the Committee on Oversight and Reform in the One Hundred Seventeenth Congress.
HR 1164,Emancipation Statue Removal Act
S 3904,Healthcare Cybersecurity Act of 2022
S 895,Human Trafficking Survivor Tax Relief Act
S 421,Western Tribal Water Infrastructure Act of 2021
HRES 1472,"Clarifying the application of rule XXI of the Rules of the House of Representatives to certain retrenchments of expenditures in appropriations measures, and for other purposes."
HR 8818,Wind Safety Standard Act of 2022
HRES 1469,"Of inquiry directing the Director of National Intelligence to transmit certain documents to the House of Representatives relating to the use of authorities, personnel, and capabilities of the intelligence community to conduct domestic activities unrelated to foreign intelligence."
S 4205,PAW Act
HR 5775,Sustainable International Financial Institutions Act of 2021
SRES 159,"A resolution designating the week of April 17, 2021, through April 25, 2021, as ""National Park Week""."
S 1405,Targeting Environmental and Climate Recklessness Act of 2021
HR 270,Genetically Engineered Salmon Labeling Act
HR 1870,Strengthening Local Transportation Security Capabilities Act of 2021
HR 123,Alternative Data for Additional Credit FHA Pilot Program Reauthorization Act
HR 5953,Investing in VETS Act
S 947,Housing Accountability Act of 2021
S 973,Grizzly Bear State Management Act of 2021
HR 1434,Stop Predatory Organ Trafficking Act of 2021
HR 6142,Buckeye National Scenic Trail Feasibility Study Act of 2021
S 4739,Increasing Access to Dental Insurance Act
HR 7627,Advancing Equity Through the Arts and Humanities Act of 2022
HR 4704,Mature Technology Node Resiliency and Manufacturing Act of 2021
HRES 6,Providing for the designation of certain minority employees.
HR 8822,"To direct the Secretary of Education to carry out a grant program to support the placement of students and licensed professional social workers in public libraries, and for other purposes."
HRES 102,Expressing the sense of the House of Representatives regarding the 6888th Central Postal Directory Battalion and celebrating Black History Month.
S 2537,Affordable EVs for Working Families Act
HRES 435,Recognizing the 100th Anniversary of the 1921 Tulsa Race Massacre.
S 5106,PACE Part D Choice Act of 2022
SRES 598,"A resolution congratulating the Glenville State University women's basketball team for winning the National Collegiate Athletic Association Division II Women's Basketball Championship at the Birmingham CrossPlex in Birmingham, Alabama."
HR 8828,FDA Ethics Act of 2022
HR 3271,Climate Change Health Protection and Promotion Act of 2021
S 5112,250th Anniversary of the United States Marine Corps Commemorative Coin Act
S 93,Global Magnitsky Human Rights Accountability Reauthorization Act
S 2918,KIDS Act
S 5101,Voluntary Specialized Accreditation for Background and Home Studies Act
HR 2826,"To establish a Global Climate Change Resilience Strategy, to authorize the admission of climate-displaced persons, and for other purposes."
HR 3261,To repeal the Authorization for Use of Military Force Against Iraq Resolution.
SRES 58,An original resolution authorizing expenditures by the Committee on Small Business and Entrepreneurship.
S 1874,Recreation Not Red Tape Act
S 1180,Choose Medicare Act
HR 6628,Close Biden’s Open Border Act
HRES 840,Recognizing the 100th anniversary of the Alabama Farmers Federation and celebrating the long history of the Alabama Farmers Federation serving as the voice for Alabama agriculture and forestry.
HR 6306,POLAR Response Act
HRES 321,Electing Members to the Joint Committee of Congress on the Library and the Joint Committee on Printing.
HR 505,Native American Education Opportunity Act
S 965,Cyber Shield Act of 2021
HR 1442,PREPARED Act
HR 8819,Worker Safety in Climate Disasters Act
HR 8831,Seaman Danyelle Luckey Military Medical Accountability Amendment Act of 2022
S 5109,United States Legal Gold and Mining Partnership Act
HR 1430,To amend the Internal Revenue Code of 1986 to cover into the treasury of the Virgin Islands revenue from tax on fuel produced in the Virgin Islands and entered into the United States.
SRES 813,"A resolution expressing the support of the Senate for the designation of ""Public Radio Music Day"" and deep appreciation for the role of public radio music stations in serving listeners, musicians, and hundreds of communities in the United States."
HR 278,No Taxpayer-Funded Art in Embassies Act
S 1519,Save Hotel Jobs Act
SRES 113,A resolution authorizing the printing of a collection of the rules of the committees of the Senate.
HR 6953,SPIGOT Act of 2022
S 1199,"A bill to release a Federal reversionary interest in Chester County, Tennessee, and for other purposes."
S 3354,"A bill to delay the implementation of a rule relating to the importation of sheep and goats and products derived from sheep and goats, and for other purposes."
S 15,Protecting Seniors from Emergency Scams Act
HR 2171,Freedom To Invest in Tomorrow's Workforce Act
S 2519,RIP MSP Act
HRES 82,Raising a question of the privileges of the House.
HRES 1341,Expressing the profound sorrow of the House of Representatives on the death of Her Majesty Queen Elizabeth II.
HR 7548,Securing Americans from Transportation Insanity Act
S 1407,Early Warning Reporting System Improvement Act of 2021
HR 96,COVID–19 National Memorial Act
S 2252,A bill to increase the penalties for ambushing a law enforcement officer.
S 950,"No Budget, No Pay Act"
S 2462,APEX Act
S 1442,Workforce PATHWAYS Act
HR 5746,Freedom to Vote: John R. Lewis Act
S 3441,CDFI Bond Guarantee Program Improvement Act of 2022
S 3824,Into the Light for MMH and SUD Act of 2022
S 1971,Chronic Kidney Disease Improvement in Research and Treatment Act of 2021
S 4890,Protections for Student Veterans Act of 2022
HR 7045,Closing Health Coverage Gaps for Public Servants Act of 2022
S 1361,District of Columbia-Maryland Reunion Act
HR 294,Encouraging Public Offerings Act of 2021
S 869,National Manufacturing Guard Act
HR 7038,Hunger Clearinghouse Enhancement Act of 2022
S 3835,Native Histories and Cultures Education Act of 2022
S 4898,Pueblos of Acoma and Laguna Water Rights Settlement Act of 2022
HR 6109,Middle Class Mortgage Insurance Premium Act of 2021
HR 7000,Clean Slate through Consolidation Act
S 3839,Disaster and Emergency Pricing Abuse Prevention Act
HR 474,Protecting Consumer Information Act of 2021
HR 753,"Serve the People, Not the Swamp Act"
HR 1369,American Space Commerce Act of 2021
HR 4549,"Energy and Water Development and Related Agencies Appropriations Act, 2022"
HRES 1347,Electing certain Members to certain standing committees of the House of Representatives.
S 3832,COVID–19 Origin Disclosure Act of 2022
HR 1468,Securities and Exchange Commission Real Estate Leasing Authority Revocation Act
S 642,Air Carrier Access Amendments Act of 2021
HR 2206,Equitable Transit Oriented Development Support Act
HR 7043,Republic of Georgia Sovereignty Act
HR 4550,"Transportation, Housing and Urban Development, and Related Agencies Appropriations Act, 2022"
S 3836,The Watchdog Act
HR 2041,SIFT Act of 2021
HR 3927,MADE in America Act
HR 2444,Fort San Gerónimo Preservation Act
S 3841,Withdrawing Russian Support to Peacekeeping Act of 2022
S 4871,988 Coordination and Improvement Act
S 4858,Cooper Davis Act
S 4862,Supporting Our Seniors Act
HR 4431,"Department of Homeland Security Appropriations Act, 2022"
HR 6271,Health Savings Act of 2021
S 4868,Providing for Life Act
S 3385,AMICUS Act
SRES 483,"A resolution remembering the December 6, 2019, terrorist attack at Naval Air Station Pensacola and commemorating those who lost their lives, and those who were injured, in the line of duty."
HR 362,U.S. Citrus Protection Act
HR 2327,"To amend title 38, United States Code, to eliminate the time period for eligibility under Survivors' And Dependents' Educational Assistance Program of Department of Veterans Affairs."
S 3436,Protecting Europe's Energy Security Implementation Act
S 1039,"A bill to amend title 38, United States Code, to improve compensation for disabilities occurring in Persian Gulf War veterans, and for other purposes."
SRES 767,"A resolution designating the week beginning September 11, 2022, as ""National Direct Support Professionals Recognition Week""."
S 1386,Protecting Roadside First Responders Act
HR 7046,"To require the Administrator of the Federal Emergency Management Agency to submit to Congress reports describing the average amount of individual assistance and individual and household assistance provided to certain individuals and households and the rate of denial of such assistance, and for other purposes."
S 4875,Restoring Law and Order Act
S 571,Public Health Funding Prevents Pandemics Act
SRES 247,A resolution recognizing the significance of Asian/Pacific American Heritage Month as an important time to celebrate the significant contributions of Asian Americans and Pacific Islanders to the history of the United States.
S 4864,"Pipeline Fairness, Transparency, and Responsible Development Act of 2022"
HR 2931,Enhancing Grid Security through Public-Private Partnerships Act
S 4821,SOIL Act of 2022
S 4863,Women’s Business Centers Improvement Act of 2022
HR 8810,No Fencing at the United States Supreme Court Act
HR 2051,Methamphetamine Response Act of 2021
S 4861,TRUCKS Act of 2022
S 117,Intercountry Adoption Advisory Committee Act
HR 2063,Protecting American Jobs Act
HR 7587,Nonprofit Sector Strength and Partnership Act of 2022
S 4865,Digital Equity Foundation Act of 2022
S 767,Home Loan Quality Transparency Act of 2021
HR 8719,Great Bend of the Gila Conservation Act
HR 1938,National Guard Housing Equity Act
HR 1897,REACT Act
HR 2018,To waive certain provisions in the case of an emergency declaration under the Robert T. Stafford Disaster Relief and Emergency Assistance Act.
HR 5926,Pell Grant Modernization Act
HR 1509,"To repeal portions of a regulation issued by the State Superintendent of Education of the District of Columbia that require child care workers to have a degree, a certificate, or a minimum number of credit hours from an institution of higher education."
HR 7064,Hydrogen for Trucks Act of 2022
HR 148,Jobs and Childcare for Military Families Act of 2021
S 2650,Wildfire Resilient Communities Act
S 3843,EPA Transparency Act of 2022
HR 4319,PROTECT 911 Act
HRES 822,Honoring the life and legacy of the late Senator Max Cleland.
HR 672,Rejecting and Eliminating the Foul Use of Symbols Exulting Confederate Principles Act
HR 650,STOP Act
HR 7379,Military Vehicle Fleet Electrification Act
HR 996,Congress Commission Act
SRES 54,An original resolution authorizing expenditures by the Committee on Indian Affairs.
HR 3786,District of Columbia Federal Officials Residency Equality Act of 2021
HRES 792,Honoring the individuals fighting and the individuals who have fallen responding to wildland fires during the ongoing 2021 wildfire season.
S 988,Japanese American Confinement Education Act
S 256,Southern Border Communities Reimbursement Act of 2021
HR 3006,Promoting Resident Opportunities and Self-Sufficiency Act
HR 5806,Exposing China’s Belt and Road Investment in America Act of 2021
S 808,Cybersecurity Disclosure Act of 2021
HR 2599,Sandy Duplication of Benefits Fairness Act
HRES 239,Commemorating the 50th anniversary of Bangladesh's independence.
HR 469,Comprehensive Breast Reconstruction Act of 2021
S 132,Skills Renewal Act
S 2334,Large Scale Water Recycling Project and Drought Resiliency Investment Act
HRES 190,"Honoring the life and career of Johnny Pacheco, a groundbreaking musical artist whose pioneering approach to music inspired generations and made him one of the most internationally renowned artists in Latin music."
S 4869,Saving Privacy Act
HR 495,For the relief of Alejandra Juarez.
HR 1049,Expediting Federal Broadband Deployment Reviews Act
HR 1023,Justice for Student Borrowers Act
S 1772,SWIFT Act
HR 992,No Taxpayer Funding for the Chinese Communist Party Act of 2021
HR 5612,"To amend title XVIII of the Social Security Act to provide for a one-year waiver of budget neutrality adjustments under the Medicare physician fee schedule, and for other purposes."
HR 1206,End For-Profit Prisons Act of 2021
S 2249,"A bill to increase the penalties for damage to Federal courthouses and unauthorized access to areas where Federal judges work, reside, or visit."
S 4820,Protecting Communications Networks from Chinese Communist Party Espionage Act
S 4874,Early Pell Promise Act
S 4827,LuLu’s Law
S 343,Fly Safe Canine COVID Detection Act of 2021
S 165,Stopping the Mental Health Pandemic Act
HCONRES 105,Authorizing the use of the rotunda of the Capitol for a ceremony to present the statue of Harry S. Truman from the people of Missouri.
HR 7766,Trust the Science Act
S 4876,Felony Murder for Deadly Fentanyl Distribution Act
HR 418,Article I Restoration Act of 2021
HRES 686,"Expressing support for the designation of September 28, 2021, as ""National Voter Registration Day""."
S 2967,Arctic Diplomacy Act of 2021
SRES 770,"A resolution commemorating September 17, 2022, as ""Constitution Day"" and celebrating the signing of the Constitution."
HR 9325,EQUAL Defense Act of 2022
HR 9323,Lifting American Children From Poverty Act
HR 9342,WHEELChairs on Airplanes Act
S 3586,Ocean Shipping Competition Reform Act of 2022
S 2311,"Emergency Security Supplemental to Respond to January 6th Appropriations Act, 2021"
S 3934,Homeowner Flood Insurance Transparency and Protection Act
S 4878,Secure Rural and Tribal Lands Act
HR 219,Earth Act
HR 2819,Solid Start Act of 2021
HR 5624,Ending Veteran Homelessness Act of 2021
S 4655,Federal Bureau of Investigations Whistleblower Protection Enhancement Act
HR 1069,Streamlining Permitting to Enable Efficient Deployment of Broadband Infrastructure Act of 2021
SRES 93,A resolution congratulating the University of Alabama Crimson Tide football team for winning the 2021 National Collegiate Athletic Association College Football Playoff National Championship.
HR 372,"For the relief of Alirio Palacios Gamez, Hilda Veronica Ramirez Mendez, and Jayro Ivan Juarez Ramirez."
HCONRES 115,Expressing support for the Geneva Consensus Declaration on Promoting Women's Health and Strengthening the Family and urging that the United States be added as a signatory.
S 643,Child Poverty Reduction Act of 2021
HR 599,Protecting Medicare Beneficiaries with Pre-Existing Conditions Act
S 2176,Travel Trailer and Camper Tax Parity Act
HR 845,VA Billing Accountability Act
S 149,A bill to amend title XI of the Social Security Act to provide Secretarial authority to temporarily waive or modify application of certain Medicare requirements with respect to ambulance services furnished during certain emergency periods.
HR 522,Conservation Funding Protection Act
HR 2475,HOV Lanes for Heroes Act
HR 691,Expanding Opportunity through Pre-Apprenticeships Act
HR 236,To nullify the effect of Executive Order 13950 relating to combating race and sex stereotyping.
HR 43,Injunctive Authority Clarification Act of 2021
HR 1575,Unlocking our Domestic LNG Potential Act of 2021
HR 3768,Federal Employee Disclosure (FED) Transparency Act
HR 2921,USPIS Surveillance Protection Act
SCONRES 49,A concurrent resolution expressing support for the Geneva Consensus Declaration on Promoting Women's Health and Strengthening the Family and urging that the United States be added as a signatory.
HR 3870,Teach CS Act
S 513,Ensuring Increased Disaster Loans for Small Businesses Act
S 2171,"A bill to prohibit Presidential appointees from subsequently acting on behalf of the Government of the People's Republic of China, the Chinese Communist Party, and Chinese military companies."
S 1228,Territorial Equity Act of 2021
HR 7025,Advancing Human Rights-Centered International Conservation Act of 2022
SRES 184,"A resolution designating the week of May 2, 2021, through May 8, 2021, as ""Tardive Dyskinesia Awareness Week""."
HR 206,Paperwork Reduction for Farmers and H–2A Modernization Act
S 246,FAAN Act
S 837,A bill to provide relief to public transportation agencies with projects in the Full Funding Grant Agreement stage of the Capital Investment Grants Program.
HRES 139,Honoring Peyton Manning on being named to the Pro Football Hall of Fame.
HR 799,Tax Identity Protection Act
S 872,Environmental Justice For All Act
HR 2340,Toll Credit Marketplace Act of 2021
HR 590,RAM Act of 2021
HR 2153,Securing American Leadership in Science and Technology Act of 2021
HRES 129,"Urging the United States Olympic Committee, the International Olympic Committee, and the Olympic Committees of other countries to take certain actions with respect to the 2022 Winter Olympic Games."
HR 902,DEBT Act of 2021
HRES 1190,"Expressing support for the designation of November 9, 2022, as ""Gold Star Father's Day""."
HRES 1338,"Honoring Boston Celtics legend Bill Russell, 11-time National Basketball Association champion, first Black head coach of the National Basketball Association, and civil rights activist."
HRES 640,"Expressing support for the designation of the week of September 11 through September 17, 2021, as ""Patriot Week""."
HR 8837,Expanded Student Saver’s Tax Credit Act
HR 8857,Generic Animal Drug Advancement Act
S 757,Relief for Survivors of Miners Act of 2021
HR 1748,Strengthening American Nuclear Competitiveness Act
S 192,River Democracy Act of 2021
HR 617,No Coronavirus Copays for Veterans Act
HR 1684,Energy Storage Tax Incentive and Deployment Act of 2021
HJRES 40,Proposing an amendment to the Constitution of the United States to require that the Supreme Court of the United States be composed of nine justices.
HR 1947,Ensuring a Long-Term Housing Recovery Act of 2021
HR 1399,Buffalo Soldiers Congressional Gold Medal Act of 2021
HJRES 95,"To provide for the resolution of issues in a railway labor-management dispute, and for other purposes."
HRES 273,"Providing that material obtained or generated by the office of a Member in response to a casework request from a constituent is to be treated as material in the possession of the House of Representatives, and for other purposes."
S 2523,Tribal Economic Development Act of 2021
S 1588,Captive Primate Safety Act
HR 7202,National Flood Insurance Program Affordability Act
HR 1044,Broadband MAPS Act
SRES 597,A resolution recognizing the Hispanic Association of Colleges and Universities National Internship Program on the 30th anniversary of the program and celebrating its legacy of increasing diversity in the Federal Government and the private sector.
HR 1438,FLOODS Act
HJRES 5,Proposing an amendment to the Constitution of the United States protecting the right of citizens to vote.
S 3587,Connect Unserved Americans Act of 2022
HR 4650,Medicare Dental Coverage Act of 2021
S 2195,Veterans and Family Information Act of 2021
HR 2714,Working Families Childcare Access Act of 2021
HR 5263,Directed Energy Threat Emergency Response Act
S 2355,A bill to require the Administrator of the Small Business Administration make a technical correction to the Restaurant Revitalization program to allow distilleries that are prohibited by State law from meeting the onsite sales requirements under the program to participate in the program.
HR 83,Protecting Constitutional Rights from Online Platform Censorship Act
HR 150,Workers’ Memorial Day
HR 607,"To establish the Election Integrity Commission to study the integrity and administration of the general election for Federal office held in November 2020 and make recommendations to Congress to improve the security, integrity, and administration of Federal elections, and for other purposes."
HRES 229,Providing amounts for the expenses of the Committee on Financial Services in the One Hundred Seventeenth Congress.
HR 1239,Safe RIDE Act of 2021
HR 628,Shellfish Aquaculture Improvement Act of 2021
S 178,Stop Subsidizing Multimillion Dollar Corporate Bonuses Act
HRES 4,Authorizing the Speaker to appoint a committee to notify the President of the assembly of the Congress.
HR 1820,RETROACTIVE Policy Act
S 3964,RESPECT Act of 2022
HR 694,Metro Accountability and Investment Act
HR 770,United States Commission on an Open Society with Security Act of 2021
HRES 56,Expressing the sense of the House of Representatives that the amount of the Members' Representational Allowance should be increased in response to increasing threats against Members of the House.
HRES 258,Providing amounts for the expenses of the Select Committee on the Climate Crisis in the One Hundred Seventeenth Congress.
HR 2796,Family Attribution Modernization Act
HR 8148,Fair Warning Act of 2022
SRES 10,"A resolution electing Gary B. Myrick, of Virginia, as Secretary for the Majority of the Senate."
HR 1027,Safe Bases Act
SRES 160,A resolution commending and congratulating the Stanford University Cardinal women's basketball team on winning the 2021 National Collegiate Athletic Association Division I women's basketball championship.
HRES 92,Electing Members to certain standing committees of the House of Representatives.
HR 3058,Home Office Deduction Act of 2021
HRES 1186,"Honoring the life of Petty Officer Raul Guerra of Montebello, California, who perished on October 8, 1967, during military operations off northern Vietnam, and the work of the Bring Raul Home Committee to have Petty Officer Raul Guerra's remains laid to rest in California."
HR 120,SIMARRA Act
S 1268,PARK IT Act
HR 3769,Servicemember Safety and Security Improvement Act of 2021
S 241,ARTICLE ONE Act
HR 687,BRICKS Act of 2021
SJRES 6,A joint resolution proposing an amendment to the Constitution of the United States relative to balancing the budget.
HR 1687,Significant Transnational Criminal Organization Designation Act
S 320,John Lewis NIMHD Research Endowment Revitalization Act of 2021
S 361,"A bill to establish a 90-day limit to file a petition for judicial review of a permit, license, or approval for a highway or public transportation project, and for other purposes."
SRES 1,A resolution establishing a Committee to Inform the President of the United States that a quorum of each House is assembled.
HR 8868,Solidify Iran Sanctions Act of 2022
HR 373,To treat certain face coverings and disinfectants as medical expenses for purposes of certain Federal tax benefits.
HR 5856,21st Century Children and Families Act
